"index";"date";"time";"A";"B";"All"
"1";2019-10-11;0;NA;NA;NA
"2";2019-10-11;1;NA;NA;NA
"3";2019-10-11;2;NA;NA;NA
"4";2019-10-11;3;NA;NA;NA
"5";2019-10-11;4;NA;NA;NA
"6";2019-10-11;5;NA;NA;NA
"7";2019-10-11;6;NA;NA;NA
"8";2019-10-11;7;NA;NA;NA
"9";2019-10-11;8;NA;NA;NA
"10";2019-10-11;9;NA;NA;NA
"11";2019-10-11;10;NA;NA;NA
"12";2019-10-11;11;NA;NA;NA
"13";2019-10-11;12;NA;NA;NA
"14";2019-10-11;13;NA;NA;NA
"15";2019-10-11;14;NA;NA;NA
"16";2019-10-11;15;NA;NA;NA
"17";2019-10-11;16;NA;NA;NA
"18";2019-10-11;17;NA;NA;NA
"19";2019-10-11;18;NA;NA;NA
"20";2019-10-11;19;"2019-10-11 19:00:00.000";530;38
"21";2019-10-11;20;"2019-10-11 20:00:00.000";530;3
"22";2019-10-11;21;NA;NA;NA
"23";2019-10-11;22;NA;NA;NA
"24";2019-10-11;23;NA;NA;NA
"25";2019-10-12;0;NA;NA;NA
"26";2019-10-12;1;NA;NA;NA
"27";2019-10-12;2;NA;NA;NA
"28";2019-10-12;3;NA;NA;NA
"29";2019-10-12;4;NA;NA;NA
"30";2019-10-12;5;NA;NA;NA
"31";2019-10-12;6;NA;NA;NA
"32";2019-10-12;7;NA;NA;NA
"33";2019-10-12;8;NA;NA;NA
"34";2019-10-12;9;NA;NA;NA
"35";2019-10-12;10;"2019-10-12 10:00:00.000";530;27
"36";2019-10-12;11;"2019-10-12 11:00:00.000";530;58
"37";2019-10-12;12;"2019-10-12 12:00:00.000";530;36
"38";2019-10-12;13;"2019-10-12 13:00:00.000";530;53
"39";2019-10-12;14;"2019-10-12 14:00:00.000";530;71
"40";2019-10-12;15;"2019-10-12 15:00:00.000";530;60
"41";2019-10-12;16;"2019-10-12 16:00:00.000";530;70
"42";2019-10-12;17;"2019-10-12 17:00:00.000";530;57
"43";2019-10-12;18;"2019-10-12 18:00:00.000";530;41
"44";2019-10-12;19;"2019-10-12 19:00:00.000";530;27
"45";2019-10-12;20;"2019-10-12 20:00:00.000";530;3
"46";2019-10-12;21;NA;NA;NA
"47";2019-10-12;22;NA;NA;NA
"48";2019-10-12;23;NA;NA;NA
"49";2019-10-13;0;NA;NA;NA
"50";2019-10-13;1;NA;NA;NA
"51";2019-10-13;2;NA;NA;NA
"52";2019-10-13;3;NA;NA;NA
"53";2019-10-13;4;NA;NA;NA
"54";2019-10-13;5;NA;NA;NA
"55";2019-10-13;6;NA;NA;NA
"56";2019-10-13;7;NA;NA;NA
"57";2019-10-13;8;NA;NA;NA
"58";2019-10-13;9;NA;NA;NA
"59";2019-10-13;10;"2019-10-13 10:00:00.000";530;58
"60";2019-10-13;11;"2019-10-13 11:00:00.000";530;73
"61";2019-10-13;12;"2019-10-13 12:00:00.000";530;43
"62";2019-10-13;13;"2019-10-13 13:00:00.000";530;62
"63";2019-10-13;14;"2019-10-13 14:00:00.000";530;72
"64";2019-10-13;15;"2019-10-13 15:00:00.000";530;65
"65";2019-10-13;16;"2019-10-13 16:00:00.000";530;68
"66";2019-10-13;17;"2019-10-13 17:00:00.000";530;65
"67";2019-10-13;18;"2019-10-13 18:00:00.000";530;45
"68";2019-10-13;19;"2019-10-13 19:00:00.000";530;23
